Netlist file: vpr.lgred.net   Architecture file: vpr.small.arch.in
Array size: 17 x 17 logic blocks

#block name	x	y	subblk	block number
#----------	--	--	------	------------
o_38_		5	9	0	#137
o_25_		17	16	0	#138
o_12_		17	9	0	#139
o_37_		3	2	0	#140
o_26_		8	2	0	#141
o_11_		11	17	0	#142
o_50_		15	1	0	#143
o_36_		15	4	0	#144
o_27_		9	1	0	#145
o_14_		3	17	0	#146
o_35_		4	9	0	#147
o_28_		16	17	0	#148
o_13_		17	11	0	#149
o_34_		6	17	0	#150
o_21_		15	11	0	#151
o_16_		15	15	0	#152
o_40_		5	5	0	#153
o_33_		2	17	0	#154
o_22_		6	1	0	#155
o_15_		3	15	0	#156
o_32_		1	17	0	#157
o_23_		8	1	0	#158
o_18_		12	15	0	#159
o_31_		13	1	0	#160
o_24_		10	17	0	#161
o_17_		14	14	0	#162
o_56_		7	2	0	#163
o_43_		11	6	0	#164
o_30_		9	2	0	#165
o_55_		16	4	0	#166
o_44_		8	12	0	#167
o_58_		16	5	0	#168
o_41_		3	13	0	#169
o_57_		17	10	0	#170
o_42_		14	4	0	#171
o_20_		13	11	0	#172
o_52_		3	5	0	#173
o_47_		5	14	0	#174
o_51_		11	4	0	#175
o_48_		7	11	0	#176
o_54_		15	8	0	#177
o_45_		3	11	0	#178
o_10_		13	17	0	#179
o_53_		16	1	0	#180
o_46_		10	5	0	#181
o_61_		8	15	0	#182
o_9_		2	2	0	#183
o_62_		9	15	0	#184
o_63_		9	16	0	#185
o_49_		3	6	0	#186
o_7_		14	17	0	#187
o_64_		17	14	0	#188
o_8_		3	1	0	#189
o_59_		1	16	0	#190
o_6_		7	17	0	#191
o_3_		2	1	0	#192
o_4_		11	14	0	#193
n_n238		4	13	0	#194
[74]		3	9	0	#195
[87]		7	7	0	#196
n_n302		3	12	0	#197
n_n39		7	3	0	#198
[95]		12	12	0	#199
[129]		5	11	0	#200
[131]		4	3	0	#201
[102]		2	7	0	#202
n_n268		13	9	0	#203
[70]		12	10	0	#204
[97]		4	10	0	#205
n_n366		15	16	0	#206
[88]		10	16	0	#207
n_n318		14	9	0	#208
[91]		14	5	0	#209
[107]		13	10	0	#210
n_n338		12	7	0	#211
[73]		15	5	0	#212
[124]		4	2	0	#213
[72]		10	4	0	#214
[90]		2	11	0	#215
n_n297		13	4	0	#216
n_n278		4	7	0	#217
n_n369		6	15	0	#218
[132]		11	15	0	#219
[100]		15	13	0	#220
[120]		14	12	0	#221
[78]		16	14	0	#222
[130]		9	6	0	#223
[110]		15	3	0	#224
[89]		12	1	0	#225
[96]		14	2	0	#226
n_n365		12	17	0	#227
n_n271		9	5	0	#228
[69]		10	6	0	#229
[106]		8	13	0	#230
n_n300		1	8	0	#231
[94]		6	14	0	#232
n_n387		12	14	0	#233
n_n392		7	16	0	#234
n_n344		16	13	0	#235
[77]		6	11	0	#236
n_n343		8	10	0	#237
n_n330		13	6	0	#238
[93]		3	10	0	#239
[134]		14	6	0	#240
n_n303		10	10	0	#241
n_n304		2	10	0	#242
n_n293		11	12	0	#243
n_n368		7	15	0	#244
[115]		4	14	0	#245
[109]		5	13	0	#246
n_n49		5	2	0	#247
n_n292		5	6	0	#248
n_n332		8	6	0	#249
n_n236		13	7	0	#250
n_n277		6	7	0	#251
n_n319		15	7	0	#252
n_n301		1	4	0	#253
n_n395		10	14	0	#254
[121]		11	16	0	#255
n_n286		5	10	0	#256
n_n212		1	7	0	#257
[65]		7	5	0	#258
o_5_		17	17	0	#259
[768]		9	13	0	#260
[772]		2	12	0	#261
[774]		16	3	0	#262
[775]		15	6	0	#263
[776]		9	11	0	#264
[777]		9	12	0	#265
[780]		7	8	0	#266
[781]		5	8	0	#267
[783]		6	12	0	#268
[784]		6	8	0	#269
[787]		16	7	0	#270
[790]		12	13	0	#271
[793]		11	5	0	#272
[795]		8	8	0	#273
[801]		7	4	0	#274
[802]		15	2	0	#275
[804]		9	14	0	#276
[807]		11	2	0	#277
[808]		11	3	0	#278
[809]		14	3	0	#279
[813]		5	7	0	#280
[815]		4	6	0	#281
[816]		6	5	0	#282
[817]		4	1	0	#283
[819]		1	3	0	#284
[820]		2	5	0	#285
[823]		2	4	0	#286
[825]		4	11	0	#287
[827]		2	8	0	#288
[829]		5	12	0	#289
[830]		4	12	0	#290
[832]		5	16	0	#291
[834]		4	16	0	#292
[839]		13	16	0	#293
[840]		13	14	0	#294
[842]		13	15	0	#295
[843]		10	15	0	#296
[844]		10	13	0	#297
[847]		11	13	0	#298
[849]		11	10	0	#299
[851]		11	9	0	#300
[854]		9	9	0	#301
[856]		8	16	0	#302
[857]		6	16	0	#303
[861]		13	13	0	#304
[862]		16	15	0	#305
[863]		16	12	0	#306
[866]		16	11	0	#307
[870]		7	13	0	#308
[874]		6	4	0	#309
[876]		5	4	0	#310
[878]		12	4	0	#311
[881]		12	3	0	#312
[884]		13	8	0	#313
[885]		14	7	0	#314
[889]		6	6	0	#315
[891]		4	4	0	#316
[892]		5	1	0	#317
[894]		10	3	0	#318
[895]		9	3	0	#319
[899]		16	8	0	#320
[900]		10	12	0	#321
[904]		8	9	0	#322
[905]		8	7	0	#323
[906]		10	2	0	#324
[907]		10	1	0	#325
[909]		9	4	0	#326
[912]		11	1	0	#327
[913]		5	17	0	#328
[915]		9	8	0	#329
[916]		10	9	0	#330
[917]		4	8	0	#331
[919]		15	17	0	#332
[921]		14	11	0	#333
[922]		17	8	0	#334
[924]		12	11	0	#335
[925]		15	14	0	#336
[926]		17	12	0	#337
[927]		17	13	0	#338
[929]		15	10	0	#339
[933]		15	12	0	#340
[935]		12	5	0	#341
[936]		1	11	0	#342
[938]		8	11	0	#343
[940]		2	16	0	#344
[941]		12	6	0	#345
[943]		6	2	0	#346
[944]		5	15	0	#347
[945]		1	15	0	#348
[946]		13	5	0	#349
[947]		8	4	0	#350
[949]		12	2	0	#351
[951]		13	3	0	#352
[952]		14	1	0	#353
[955]		12	16	0	#354
[956]		9	17	0	#355
[958]		8	17	0	#356
[959]		14	13	0	#357
[961]		13	2	0	#358
[963]		7	1	0	#359
[965]		17	7	0	#360
[968]		11	7	0	#361
[969]		14	8	0	#362
[970]		6	9	0	#363
[972]		7	14	0	#364
[973]		11	8	0	#365
[977]		7	12	0	#366
[980]		11	11	0	#367
[983]		17	6	0	#368
[986]		16	6	0	#369
[989]		2	13	0	#370
[990]		1	12	0	#371
[991]		1	13	0	#372
[994]		16	9	0	#373
[995]		14	10	0	#374
[998]		16	10	0	#375
[999]		1	6	0	#376
[1000]		2	6	0	#377
[1002]		10	11	0	#378
[1004]		13	12	0	#379
[1008]		6	13	0	#380
[1010]		6	10	0	#381
[1013]		4	5	0	#382
[1014]		2	14	0	#383
[1017]		1	5	0	#384
[1019]		7	6	0	#385
[1020]		1	9	0	#386
[1022]		7	9	0	#387
[1023]		7	10	0	#388
[1026]		12	8	0	#389
[1028]		1	10	0	#390
[1034]		10	8	0	#391
[1035]		9	10	0	#392
[1037]		9	7	0	#393
[1038]		10	7	0	#394
[1040]		8	14	0	#395
[1042]		8	5	0	#396
[1043]		8	3	0	#397
[1045]		4	15	0	#398
[1049]		3	7	0	#399
[1053]		5	3	0	#400
[1054]		6	3	0	#401
[1058]		3	4	0	#402
[1060]		3	3	0	#403
